STATE,Obama,Romney,Others,TotVote,PctObm,Region
AL,795696,1255925,22717,2074338,0.383590331,South
AK,122640,164676,13179,300495,0.408126591,West
AZ,1025232,1233654,40368,2299254,0.445897669,West
AR,394409,647744,27315,1069468,0.368789903,West
CA,7854285,4839958,344304,13038547,0.602389591,West
CO,1323102,1185243,61177,2569522,0.514921452,West
CT,905083,634892,18985,1558960,0.580568456,Northeast
DE,242584,165484,5853,413921,0.586063524,Northeast
DC,267070,21381,5313,293764,0.909131139,Northeast
FL,4237756,4163447,72976,8474179,0.500078651,South
GA,1773827,2078688,47535,3900050,0.454821605,South
HI,306658,121015,7024,434697,0.705452304,West
ID,212787,420911,18576,652274,0.326223336,West
IL,3019512,2135216,87286,5242014,0.576021354,Midwest
IN,1152887,1420543,51104,2624534,0.439273029,Midwest
IA,822544,730617,29019,1582180,0.519880165,Midwest
KS,440726,692634,26611,1159971,0.379945706,Midwest
KY,679370,1087190,30652,1797212,0.378013278,South
LA,809141,1152262,32662,1994065,0.405774636,South
ME,401306,292276,19598,713180,0.562699459,Northeast
MD,1677844,971869,57614,2707327,0.619741908,Northeast
MA,1921290,1188314,58163,3167767,0.606512411,Northeast
MI,2564569,2115256,51136,4730961,0.542082042,Midwest
MN,1546167,1320225,70169,2936561,0.526523032,Midwest
MS,562949,710746,11889,1285584,0.437893595,South
MO,1223796,1482440,51087,2757323,0.443834835,Midwest
MT,201839,267928,14281,484048,0.416981374,West
NE,302081,475064,17234,794379,0.380273144,Midwest
NV,531373,463567,19978,1014918,0.523562495,West
NH,369561,329918,11493,710972,0.519796842,Northeast
NJ,2125101,1477568,37623,3640292,0.583772126,Northeast
NM,415335,335788,32635,783758,0.529927605,West
NY,4485741,2490431,104987,7081159,0.633475537,Northeast
NC,2178391,2270395,56586,4505372,0.483509686,South
ND,124827,188163,9637,322627,0.386908101,Midwest
OH,2827709,2661437,91701,5580847,0.506680975,Midwest
OK,443547,891325,0,1334872,0.332276803,South
OR,970488,754175,64607,1789270,0.542393267,West
PA,2990274,2680434,82962,5753670,0.519715938,Northeast
RI,279677,157204,9168,446049,0.627009589,Northeast
SC,865941,1071645,26532,1964118,0.440880334,South
SD,145039,210610,8166,363815,0.398661408,Midwest
TN,960709,1462330,35538,2458577,0.39075815,South
TX,3308124,4569843,115884,7993851,0.413833583,South
UT,251813,740600,25027,1017440,0.247496658,West
VT,199239,92698,7353,299290,0.665705503,Northeast
VA,1971820,1822522,60147,3854489,0.511564568,South
WA,1755396,1290670,79450,3125516,0.561633983,West
WV,238269,417655,14514,670438,0.355393042,South
WI,1620985,1407966,39483,3068434,0.528277617,Midwest
WY,69286,170962,8813,249061,0.278188877,West
